StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,FL1,FL2,FL3,D1,D2,D3,D4,D5,D6,B1_1,B1_2,B1_3,B1_4,B1_5,C2,D1_1,D1_2,D1_3,D1_4,condition,Participant id,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Employment status
2026-02-25 12:37:02,2026-02-25 12:39:22,IP Address,71.247.207.23,100,139,True,2026-02-25 12:39:22,R_3f7ATbvfM4wPgSR,,,,,40.6446,-73.9743,anonymous,EN,More than $102,Less than today,False,28,Female,"$50,000–$74,999",Bachelor's degree,"Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Moderately Disagree,Somewhat Agree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Moderately Agree,Strongly Agree,A,6993ef10052ab64910f5b6cc,28,Female,Asian,China,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2026-02-25 12:39:36,2026-02-25 12:41:50,IP Address,174.21.157.219,100,134,True,2026-02-25 12:41:51,R_3lSy5S3ZEWr3lVg,,,,,47.6137,-122.3104,anonymous,EN,More than $102,Less than today,False,37,Male,"$25,000–$49,999",High school diploma or GED,"Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Moderately Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,WealthPath performed about the same as the market,Somewhat Agree,Moderately Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,B,669a8660d4a57296b3d666e1,37,Male,White,United States,United States,United States,Full-Time
2026-02-25 12:42:11,2026-02-25 12:44:44,IP Address,73.73.76.228,100,153,True,2026-02-25 12:44:44,R_37CmJpPFeB6lJZ4,,,,,41.9025,-87.6726,anonymous,EN,More than $102,Less than today,False,26,Female,"$50,000–$74,999",Bachelor's degree,"Worked with a human financial advisor,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Moderately Agree,Somewhat Agree,Moderately Disagree,Moderately Disagree,WealthPath performed worse than the market,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,C,672ed285dbe86b0a33526edd,26,Female,White,United States,United States,United States,DATA_EXPIRED
2026-02-25 12:45:07,2026-02-25 12:49:46,IP Address,173.186.152.254,100,279,True,2026-02-25 12:49:47,R_1kFAQeLgy6wbHl9,,,,,34.7015,-83.7316,anonymous,EN,More than $102,Less than today,False,23,Male,"Under $25,000",High school diploma or GED,Self-directed investing through a brokerage account,Strongly agree,Somewhat Agree,Moderately Agree,Somewhat Agree,Moderately Agree,Moderately Disagree,WealthPath performed worse than the market,Somewhat Agree,Moderately Agree,Moderately Agree,Somewhat Agree,A,698ab8e1467373b31220c70e,23,Male,White,United States,United States,United States,Full-Time
2026-02-25 12:52:29,2026-02-25 12:55:06,IP Address,65.34.179.16,100,157,True,2026-02-25 12:55:07,R_6ao5qRFMo19vAHv,,,,,26.3487,-80.1501,anonymous,EN,More than $102,Less than today,False,65,Male,"$75,000–$99,999",Bachelor's degree,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Moderately Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Moderately Agree,WealthPath performed worse than the market,Somewhat Agree,Moderately Agree,Somewhat Agree,Somewhat Agree,C,66646350b821e70655b521f9,65,DATA_EXPIRED,White,United States,United States,United States,Part-Time
2026-02-25 12:55:30,2026-02-25 12:58:16,IP Address,172.59.186.178,100,165,True,2026-02-25 12:58:16,R_6cvmflHUB56LwHA,,,,,41.8835,-87.6305,anonymous,EN,More than $102,Less than today,False,46,Female,"$75,000–$99,999",Some college,No investment experience,Somewhat disagree,Strongly Agree,Neither Agree nor Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,A,56e967b74c71f00005d78743,46,Female,White,United States,United States,United States,Full-Time
2026-02-25 12:58:28,2026-02-25 13:03:37,IP Address,98.216.195.75,100,309,True,2026-02-25 13:03:38,R_32Ay4HxU6V1nVzK,,,,,43.011,-71.4571,anonymous,EN,More than $102,Less than today,False,40,Male,"$25,000–$49,999",Some college,"Used a robo-advisor (e.g., Betterment, Wealthfront),Self-directed investing through a brokerage account",Somewhat disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Moderately Agree,WealthPath performed worse than the market,Somewhat Disagree,Moderately Disagree,Moderately Disagree,Neither Agree nor Disagree,C,6296290ec41bde1525dbb77e,40,Male,White,United States,United States,United States,Other
2026-02-25 13:03:55,2026-02-25 13:06:54,IP Address,172.59.34.220,100,178,True,2026-02-25 13:06:54,R_7xTRHwgfSy6gA9P,,,,,39.2648,-84.3221,anonymous,EN,More than $102,More than today,False,45,Female,"Under $25,000",High school diploma or GED,"Used a robo-advisor (e.g., Betterment, Wealthfront),Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Somewhat Agree,Moderately Agree,Somewhat Agree,Neither Agree nor Disagree,Moderately Disagree,WealthPath performed worse than the market,Moderately Agree,Strongly Agree,Moderately Agree,Somewhat Agree,B,62961bfdbe5f238d3225db72,45,Female,White,United States,United States,United States,Full-Time
2026-02-25 13:07:09,2026-02-25 13:18:53,IP Address,73.8.207.168,100,703,True,2026-02-25 13:18:53,R_6S7Uk4yhBC1kUZC,,,,,41.8095,-87.6522,anonymous,EN,More than $102,Less than today,False,26,Male,"$75,000–$99,999",Bachelor's degree,No investment experience,Somewhat disagree,Moderately Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,WealthPath performed worse than the market,Somewhat Agree,Somewhat Agree,Moderately Agree,Moderately Agree,A,665b7b047373d8da553237a6,26,Male,Asian,United States,United States,United States,Unemployed (and job seeking)
2026-02-25 13:19:14,2026-02-25 13:22:09,IP Address,70.188.221.24,100,175,True,2026-02-25 13:22:09,R_648UULtL9kBtZoi,,,,,33.491,-112.2491,anonymous,EN,More than $102,Less than today,False,39,Female,"$100,000–149,999",Graduate or professional degree,"Used a robo-advisor (e.g., Betterment, Wealthfront),Worked with a human financial advisor,Self-directed investing through a brokerage account",Somewhat disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,WealthPath performed about the same as the market,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,C,664003b962a847c71db3ebb0,39,Female,Black,Nigeria,United States,Nigeria,Full-Time
2026-02-25 13:22:32,2026-02-25 13:24:45,IP Address,70.92.224.238,100,133,True,2026-02-25 13:24:45,R_6J42ESucerbGxKb,,,,,42.5606,-87.829,anonymous,EN,More than $102,Less than today,Don't know,52,Female,"$25,000–$49,999",Some college,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,WealthPath performed worse than the market,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,B,6126ecc3ebef11936ed8bfcb,52,Female,White,United States,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2026-02-25 13:24:53,2026-02-25 13:29:37,IP Address,46.110.217.21,100,284,True,2026-02-25 13:29:38,R_67ldGKoHT6pRgp2,,,,,35.9928,-95.8152,anonymous,EN,More than $102,Less than today,False,37,Male,"$100,000–149,999",Bachelor's degree,"Used a robo-advisor (e.g., Betterment, Wealthfront),Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,WealthPath performed worse than the market,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,B,6600a119385d8631c41cd795,37,Male,White,United States,United States,United States,Full-Time
2026-02-25 13:30:03,2026-02-25 13:33:12,IP Address,50.34.63.102,100,189,True,2026-02-25 13:33:13,R_1zKy3Sxu2l8vvI5,,,,,47.9005,-122.2472,anonymous,EN,More than $102,Less than today,False,29,Male,"$75,000–$99,999",Graduate or professional degree,Self-directed investing through a brokerage account,Somewhat disagree,Moderately Agree,Somewhat Agree,Moderately Agree,Somewhat Agree,Moderately Agree,WealthPath performed better than the market,Moderately Agree,Somewhat Agree,Somewhat Agree,Moderately Agree,A,62959d1553cc14e98f4b8d78,29,Male,Asian,United States,United States,United States,Full-Time
2026-02-25 13:33:37,2026-02-25 13:35:43,IP Address,172.56.81.232,100,125,True,2026-02-25 13:35:43,R_7nNtGCssqqDYPkt,,,,,33.491,-112.2491,anonymous,EN,More than $102,Less than today,False,53,Male,"$100,000–149,999",Bachelor's degree,"Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Moderately Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,WealthPath performed worse than the market,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,C,6548f960db60a00d76e92695,53,Male,White,United States,United States,United States,Full-Time
2026-02-25 13:35:58,2026-02-25 13:38:45,IP Address,75.64.255.8,100,166,True,2026-02-25 13:38:45,R_1nIvBrbkEhi7bOQ,,,,,35.1512,-89.972,anonymous,EN,More than $102,Less than today,False,37,Male,"$25,000–$49,999",High school diploma or GED,"Employer retirement plan (401k, 403b)",Somewhat disagree,Moderately Agree,Neither Agree nor Disagree,Somewhat Disagree,Moderately Disagree,Moderately Disagree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Moderately Agree,Moderately Agree,A,5622e62bed6e5a0011c807b3,37,Male,White,United States,United States,United States,Full-Time
2026-02-25 13:39:05,2026-02-25 13:41:52,IP Address,206.162.46.100,100,167,True,2026-02-25 13:41:52,R_6k7msp4HacequoW,,,,,61.2049,-149.8096,anonymous,EN,More than $102,Less than today,False,29,Male,"$100,000–149,999",Bachelor's degree,Self-directed investing through a brokerage account,Somewhat disagree,Moderately Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,B,5a08ddd0df3fa800015c36ac,29,Male,White,United States,United States,United States,DATA_EXPIRED
2026-02-25 13:42:24,2026-02-25 13:46:30,IP Address,24.233.111.199,100,246,True,2026-02-25 13:46:30,R_7RgeM2p27y423H5,,,,,43.4368,-71.1723,anonymous,EN,More than $102,Less than today,False,48,Male,"$50,000–$74,999",High school diploma or GED,"Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Moderately Disagree,WealthPath performed worse than the market,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,C,665f930d862dcdc6bfde540e,48,Male,White,United States,United States,United States,Full-Time
2026-02-25 13:46:48,2026-02-25 13:49:05,IP Address,71.73.113.89,100,136,True,2026-02-25 13:49:05,R_5HBMV6DrwCz6yzL,,,,,40.9666,-81.4185,anonymous,EN,More than $102,Less than today,False,35,Female,"$75,000–$99,999",Bachelor's degree,No investment experience,Somewhat disagree,Moderately Agree,Somewhat Agree,Somewhat Agree,Moderately Agree,Somewhat Disagree,WealthPath performed worse than the market,Somewhat Agree,Moderately Agree,Somewhat Agree,Somewhat Agree,B,5fb41bf3f84c7006ac8e30f2,35,Female,White,United States,United States,United States,Full-Time
2026-02-25 13:49:21,2026-02-25 13:51:23,IP Address,74.109.198.206,100,121,True,2026-02-25 13:51:23,R_1rkLCid5tHB8CtB,,,,,40.473,-79.9537,anonymous,EN,More than $102,Don't know,False,24,Non-binary / third gender,"$25,000–$49,999",Bachelor's degree,"Worked with a human financial advisor,No investment experience",Somewhat disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Strongly Agree,Moderately Agree,A,608209b96e955ba5201eff25,24,Female,White,United States,United States,United States,Unemployed (and job seeking)
2026-02-25 13:51:40,2026-02-25 13:55:09,IP Address,24.224.68.173,100,209,True,2026-02-25 13:55:10,R_7sbiFVoXcoZGTUB,,,,,35.4868,-80.8601,anonymous,EN,More than $102,Less than today,Don't know,47,Male,"$75,000–$99,999",Bachelor's degree,"Used a robo-advisor (e.g., Betterment, Wealthfront),Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Somewhat Agree,Moderately Agree,Moderately Agree,Somewhat Agree,WealthPath performed worse than the market,Somewhat Disagree,Moderately Agree,Somewhat Agree,Somewhat Disagree,C,63d2797ee24c80630f3b67e1,47,Male,White,United States,United States,United States,DATA_EXPIRED
2026-02-25 13:55:28,2026-02-25 13:57:43,IP Address,68.101.64.54,100,135,True,2026-02-25 13:57:44,R_7yo4bK6c03TH4Ep,,,,,29.6138,-82.386,anonymous,EN,More than $102,Less than today,False,43,Male,"$100,000–149,999",Graduate or professional degree,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,WealthPath performed worse than the market,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,A,697c9f35326532dcf1bb8be3,43,Male,White,United States,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2026-02-25 13:58:01,2026-02-25 14:00:47,IP Address,174.108.69.0,100,165,True,2026-02-25 14:00:47,R_6EGeRg2uSDUGjwu,,,,,35.0221,-80.5318,anonymous,EN,More than $102,Less than today,False,32,Male,"$25,000–$49,999",Bachelor's degree,"Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Strongly Agree,Moderately Agree,Somewhat Disagree,Strongly Disagree,WealthPath performed worse than the market,Strongly Disagree,Somewhat Agree,Moderately Disagree,Somewhat Disagree,B,650b03136ab3d4c832d98b71,32,Male,Other,Israel,United States,United States,Part-Time
2026-02-25 14:02:46,2026-02-25 14:05:27,IP Address,98.251.55.160,100,161,True,2026-02-25 14:05:27,R_1JNGbik3a7lgn9n,,,,,33.9978,-83.7124,anonymous,EN,More than $102,Less than today,False,57,Male,"$25,000–$49,999",Bachelor's degree,No investment experience,Somewhat disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Moderately Disagree,WealthPath performed worse than the market,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,C,6516d8eb49865c2cea5ff3d8,57,Male,White,United States,United States,United States,Full-Time
2026-02-25 14:05:41,2026-02-25 14:08:53,IP Address,206.169.121.40,100,191,True,2026-02-25 14:08:53,R_7dm5F3aJmR3PVzX,,,,,34.0539,-117.2555,anonymous,EN,More than $102,Less than today,Don't know,28,Female,"$200,000 or more",Graduate or professional degree,"Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,WealthPath performed worse than the market,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Agree,B,5ef66e81cf5fa435ea9a4e8d,28,Female,Asian,United States,United States,United States,Full-Time
2026-02-25 14:09:14,2026-02-25 14:17:29,IP Address,76.200.210.77,100,494,True,2026-02-25 14:17:29,R_7ym7HIqKhdl8SJz,,,,,30.1294,-95.4238,anonymous,EN,More than $102,Less than today,False,25,Male,"Under $25,000",Bachelor's degree,"Worked with a human financial advisor,Employer retirement plan (401k, 403b)",Moderately disagree,Moderately Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,WealthPath performed worse than the market,Moderately Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A,66c0f464e0ff62798027b486,25,Male,Mixed,United States,United States,United States,Part-Time
2026-02-25 14:17:48,2026-02-25 14:20:38,IP Address,68.58.180.134,100,170,True,2026-02-25 14:20:39,R_5OUxYehfftbFquc,,,,,42.7367,-84.4758,anonymous,EN,More than $102,Less than today,False,32,Male,"$50,000–$74,999",Bachelor's degree,Self-directed investing through a brokerage account,Somewhat disagree,Moderately Agree,Moderately Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Moderately Agree,Somewhat Agree,B,53a9a1a6fdf99b5cf1a36ee0,32,Male,Mixed,United States,United States,United States,Part-Time
2026-02-25 14:20:57,2026-02-25 14:23:54,IP Address,97.156.154.142,100,176,True,2026-02-25 14:23:55,R_191e2KkIUPpwDlV,,,,,42.7214,-83.278,anonymous,EN,More than $102,Less than today,Don't know,25,Female,"$75,000–$99,999",Some college,Self-directed investing through a brokerage account,Somewhat disagree,Moderately Agree,Somewhat Agree,Moderately Agree,Moderately Agree,Moderately Agree,WealthPath performed worse than the market,Moderately Disagree,Moderately Agree,Moderately Disagree,Somewhat Disagree,A,695f9da1eba3887a2214b9f6,25,Female,White,United States,United States,United States,Part-Time
2026-02-25 14:24:13,2026-02-25 14:27:17,IP Address,71.143.74.18,100,183,True,2026-02-25 14:27:18,R_3OTVaFsz5qdOVIp,,,,,35.0644,-89.6759,anonymous,EN,More than $102,Less than today,False,57,Female,"$100,000–149,999",Bachelor's degree,Self-directed investing through a brokerage account,Somewhat disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,WealthPath performed worse than the market,Somewhat Agree,Strongly Agree,Moderately Agree,Strongly Agree,C,6557a5752b96c7460bd7ea52,57,Female,White,United States,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2026-02-25 14:29:52,2026-02-25 14:32:31,IP Address,98.233.205.235,100,158,True,2026-02-25 14:32:31,R_31Fonw5kaCoOl7X,,,,,39.3329,-76.7594,anonymous,EN,More than $102,Less than today,False,38,Female,"$75,000–$99,999",Graduate or professional degree,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Moderately Disagree,Somewhat Disagree,WealthPath performed worse than the market,Neither Agree nor Disagree,Somewhat Disagree,Moderately Agree,Somewhat Agree,A,6648a6c3e5a0dcc0647abd81,38,Female,Black,United States,United States,United States,Full-Time
2026-02-25 14:32:38,2026-02-25 14:36:44,IP Address,73.52.7.68,100,246,True,2026-02-25 14:36:45,R_7PZDPrjOtHj4mxn,,,,,41.3472,-75.9854,anonymous,EN,More than $102,Less than today,False,51,Female,"$25,000–$49,999",Bachelor's degree,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Somewhat Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,WealthPath performed worse than the market,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,B,63b9d3abc3ddc61c8c08fd84,51,Female,White,United States,United States,United States,DATA_EXPIRED
2026-02-25 14:38:20,2026-02-25 14:44:43,IP Address,74.105.218.183,100,383,True,2026-02-25 14:44:44,R_5lc6iPqXcu7ibIq,,,,,40.852,-74.2842,anonymous,EN,More than $102,Less than today,False,55,Female,"$150,000–199,999",Bachelor's degree,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,WealthPath performed worse than the market,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,C,60b3e6ad448226548d21fc4d,55,Female,White,United States,United States,United States,Full-Time
2026-02-25 14:47:15,2026-02-25 15:01:11,IP Address,165.138.139.59,100,835,True,2026-02-25 15:01:11,R_1HQUpJGg4G9odEt,,,,,38.1233,-85.9628,anonymous,EN,More than $102,Less than today,False,33,Male,"$25,000–$49,999",High school diploma or GED,"Employer retirement plan (401k, 403b)",Somewhat disagree,Moderately Agree,Somewhat Agree,Moderately Disagree,Strongly Disagree,Somewhat Disagree,WealthPath performed worse than the market,Somewhat Disagree,Moderately Agree,Somewhat Disagree,Neither Agree nor Disagree,A,66885d217777eda6f3a9b8dd,33,Male,White,United States,United States,United States,Full-Time
2026-02-25 15:03:22,2026-02-25 15:08:50,IP Address,172.59.213.238,100,328,True,2026-02-25 15:08:51,R_17vCmQC3DmkGcTo,,,,,40.7641,-74.1654,anonymous,EN,More than $102,More than today,False,24,Female,"$200,000 or more",Graduate or professional degree,"Worked with a human financial advisor,Self-directed investing through a brokerage account,Employer retirement plan (401k, 403b)",Somewhat disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Moderately Agree,Neither Agree nor Disagree,WealthPath performed better than the market,Strongly Agree,Moderately Agree,Neither Agree nor Disagree,Somewhat Agree,C,67301111865cf8fa81ac7897,24,Female,White,United States,United States,United States,DATA_EXPIRED
